sub,condition,run,mae_within,mae_truth,offset,sd_moved,sd_truth
sub-16,preproc,run-02,0.24429411764705886,0.26595588235294126,0.08745588235294122,0.34216698882866203,0.3425527060950314
sub-16,preproc,run-03,0.22507352941176467,0.2624999999999999,0.08745588235294122,0.2701093265475517,0.3425527060950314
sub-16,jdac,run-02,0.3184117647058824,0.3580588235294118,0.17452941176470588,0.39938107955640345,0.3425527060950314
sub-16,jdac,run-03,0.31,0.35923529411764704,0.17452941176470588,0.2771636220677549,0.3425527060950314
sub-16,jdac_antiartonly,run-02,0.26582352941176474,0.24708823529411764,0.13511764705882356,0.32473725449977664,0.3425527060950314
sub-16,jdac_antiartonly,run-03,0.2879117647058824,0.26964705882352946,0.13511764705882356,0.2925755434740866,0.3425527060950314
sub-16,jdac_nodenoise,run-02,0.2319705882352941,0.2692352941176471,0.2075588235294118,0.38669340249469425,0.3425527060950314
sub-16,jdac_nodenoise,run-03,0.33316176470588227,0.2879558823529411,0.2075588235294118,0.40368551763299587,0.3425527060950314
sub-17,brut,run-02,0.20625000000000002,0.20625000000000002,0.0,0.278914802147344,0.3146622951115711
sub-17,brut,run-03,0.22567647058823528,0.22567647058823528,0.0,0.27251942927569045,0.3146622951115711
sub-17,preproc,run-02,0.2015735294117647,0.23252941176470587,0.06472058823529406,0.31598646907606215,0.3146622951115711
sub-17,preproc,run-03,0.1958529411764706,0.20733823529411763,0.06472058823529406,0.2829487504667472,0.3146622951115711
sub-17,jdac,run-02,0.2487647058823529,0.30674999999999997,0.26230882352941176,0.3343210812705563,0.3146622951115711
sub-17,jdac,run-03,0.1913676470588236,0.3053529411764706,0.26230882352941176,0.28925902430712164,0.3146622951115711
sub-17,jdac_antiartonly,run-02,0.31325000000000003,0.2295,0.31489705882352936,0.31208415632988074,0.3146622951115711
sub-17,jdac_antiartonly,run-03,0.2756911764705882,0.24064705882352944,0.31489705882352936,0.2811772754478399,0.3146622951115711
sub-17,jdac_nodenoise,run-02,0.3715,0.22335294117647056,0.4073823529411764,0.29341433337043515,0.3146622951115711
sub-17,jdac_nodenoise,run-03,0.30955882352941183,0.20379411764705882,0.4073823529411764,0.31529768255031293,0.3146622951115711
sub-18,brut,run-02,0.23008823529411762,0.23008823529411762,0.0,0.3499039414149759,0.3890835566397146
sub-18,brut,run-03,0.2686176470588235,0.2686176470588235,0.0,0.28315259414590216,0.3890835566397146
