condition,identifier,aseg_found,lh_aparc_found,rh_aparc_found,stats_dir
brut,sub-21_run-02,True,True,True,/home/mathw/projects/def-sbouix/mathw/freesurfer_ds004332/sub-21_run-02/stats
brut,sub-21_run-03,True,True,True,/home/mathw/projects/def-sbouix/mathw/freesurfer_ds004332/sub-21_run-03/stats
brut,sub-22_run-01,True,True,True,/home/mathw/projects/def-sbouix/mathw/freesurfer_ds004332/sub-22_run-01/stats
brut,sub-22_run-02,True,True,True,/home/mathw/projects/def-sbouix/mathw/freesurfer_ds004332/sub-22_run-02/stats
brut,sub-22_run-03,True,True,True,/home/mathw/projects/def-sbouix/mathw/freesurfer_ds004332/sub-22_run-03/stats
preproc,sub-01_run-01,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_preproc_rigid_ds004332/sub-01_run-01/stats
preproc,sub-01_run-02,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_preproc_rigid_ds004332/sub-01_run-02/stats
preproc,sub-01_run-03,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_preproc_rigid_ds004332/sub-01_run-03/stats
preproc,sub-02_run-01,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_preproc_rigid_ds004332/sub-02_run-01/stats
preproc,sub-02_run-02,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_preproc_rigid_ds004332/sub-02_run-02/stats
preproc,sub-02_run-03,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_preproc_rigid_ds004332/sub-02_run-03/stats
preproc,sub-03_run-01,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_preproc_rigid_ds004332/sub-03_run-01/stats
preproc,sub-03_run-02,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_preproc_rigid_ds004332/sub-03_run-02/stats
preproc,sub-03_run-03,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_preproc_rigid_ds004332/sub-03_run-03/stats
preproc,sub-04_run-01,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_preproc_rigid_ds004332/sub-04_run-01/stats
preproc,sub-04_run-02,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_preproc_rigid_ds004332/sub-04_run-02/stats
preproc,sub-04_run-03,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_preproc_rigid_ds004332/sub-04_run-03/stats
preproc,sub-05_run-01,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_preproc_rigid_ds004332/sub-05_run-01/stats
preproc,sub-05_run-02,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_preproc_rigid_ds004332/sub-05_run-02/stats
preproc,sub-05_run-03,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_preproc_rigid_ds004332/sub-05_run-03/stats
preproc,sub-06_run-01,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_preproc_rigid_ds004332/sub-06_run-01/stats
preproc,sub-06_run-02,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_preproc_rigid_ds004332/sub-06_run-02/stats
preproc,sub-06_run-03,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_preproc_rigid_ds004332/sub-06_run-03/stats
preproc,sub-07_run-01,True,True,True,/home/mathw/projects/ctb-sbouix/mathw/freesurfer_preproc_rigid_ds004332/sub-07_run-01/stats
