subject,method,run,mae_within,mae_truth,offset,sd_moved,sd_truth
sub-05,jdac,run-02,0.3656911764705882,0.3821029411764706,0.2676176470588235,0.4130306095921374,0.3439168370773454
sub-05,jdac,run-03,0.4691176470588236,0.4520294117647059,0.2676176470588235,0.4035668697915223,0.3439168370773454
sub-05,jdac_antiartonly,run-02,0.3112647058823529,0.2996764705882353,0.1200294117647058,0.365912798698129,0.3439168370773454
sub-05,jdac_antiartonly,run-03,0.4415735294117647,0.4228676470588234,0.1200294117647058,0.4882621751805356,0.3439168370773454
sub-05,jdac_nodenoise,run-02,0.2959117647058824,0.3066911764705883,0.2336323529411764,0.3916720522173461,0.3439168370773454
sub-05,jdac_nodenoise,run-03,0.830955882352941,0.8911176470588235,0.2336323529411764,0.9224654708961252,0.3439168370773454
sub-06,brut,run-02,0.1859411764705882,0.1859411764705882,0.0,0.2763176537714827,0.3319896874092523
sub-06,brut,run-03,0.2593088235294117,0.2593088235294117,0.0,0.2659876009573336,0.3319896874092523
sub-06,preproc,run-02,0.1476029411764706,0.1861470588235294,0.1041029411764706,0.2730689254743232,0.3319896874092523
sub-06,preproc,run-03,0.2059264705882352,0.2610882352941175,0.1041029411764706,0.2596571399627324,0.3319896874092523
sub-06,jdac,run-02,0.1810882352941176,0.3284558823529411,0.25125,0.4150734314166041,0.3319896874092523
sub-06,jdac,run-03,0.2636323529411765,0.3378823529411765,0.25125,0.1872607979611028,0.3319896874092523
sub-06,jdac_antiartonly,run-02,0.1733382352941176,0.2921617647058824,0.2585294117647058,0.3710982869033233,0.3319896874092523
sub-06,jdac_antiartonly,run-03,0.3070588235294118,0.292764705882353,0.2585294117647058,0.2327951028715666,0.3319896874092523
sub-06,jdac_nodenoise,run-02,0.1487941176470588,0.3593823529411765,0.3262058823529412,0.4429446013734277,0.3319896874092523
sub-06,jdac_nodenoise,run-03,0.2759705882352941,0.2860588235294117,0.3262058823529412,0.33747708893717,0.3319896874092523
sub-07,brut,run-02,0.2319558823529411,0.2319558823529411,0.0,0.2834415064467831,0.3551474103176196
sub-07,brut,run-03,0.3164264705882353,0.3164264705882353,0.0,0.2824616809148636,0.3551474103176196
sub-07,preproc,run-02,0.2117794117647058,0.2227499999999999,0.0567941176470588,0.2940138540959442,0.3551474103176196
sub-07,preproc,run-03,0.3326617647058822,0.3446029411764706,0.0567941176470588,0.2325020542358294,0.3551474103176196
sub-07,jdac,run-02,0.2903235294117647,0.2936029411764705,0.1672794117647058,0.329531096279663,0.3551474103176196
sub-07,jdac,run-03,0.3338088235294118,0.3644705882352941,0.1672794117647058,0.2889886105584174,0.3551474103176196
sub-07,jdac_antiartonly,run-02,0.2856176470588235,0.2310147058823529,0.1369558823529411,0.3338624820729468,0.3551474103176196
sub-07,jdac_antiartonly,run-03,0.363985294117647,0.3140882352941178,0.1369558823529411,0.3087889411626852,0.3551474103176196
sub-07,jdac_nodenoise,run-02,0.3315735294117647,0.255014705882353,0.2064411764705881,0.3490536946979148,0.3551474103176196
sub-07,jdac_nodenoise,run-03,0.4815735294117647,0.3658970588235294,0.2064411764705881,0.4793835875499822,0.3551474103176196
sub-08,brut,run-02,0.2912941176470587,0.2912941176470587,0.0,0.2790946934158521,0.3750062086111737
sub-08,brut,run-03,0.3136764705882353,0.3136764705882353,0.0,0.3149135544106294,0.3750062086111737
sub-08,preproc,run-02,0.2823382352941176,0.2834117647058823,0.0819264705882353,0.3063730457332819,0.3750062086111737
sub-08,preproc,run-03,0.2698970588235294,0.2976176470588235,0.0819264705882353,0.3546518959428718,0.3750062086111737
sub-08,jdac,run-02,0.3412352941176469,0.3701764705882353,0.1767941176470588,0.3682518305008841,0.3750062086111737
sub-08,jdac,run-03,0.3345294117647058,0.3590294117647059,0.1767941176470588,0.4259876122445076,0.3750062086111737
sub-08,jdac_antiartonly,run-02,0.4322647058823529,0.364470588235294,0.1805,0.3372836681890204,0.3750062086111737
sub-08,jdac_antiartonly,run-03,0.3475735294117648,0.3415735294117646,0.1805,0.4254291857622509,0.3750062086111737
